NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Completion Date
NCT03688178,DC Migration Study to Evaluate TReg Depletion In GBM Patients With and Without Varlilumab,https://clinicaltrials.gov/study/NCT03688178,ACTIVE_NOT_RECRUITING,Glioblastoma,BIOLOGICAL: Human CMV pp65-LAMP mRNA-pulsed autologous DCs|DRUG: Temozolomide|BIOLOGICAL: Varlilumab|BIOLOGICAL: Td|BIOLOGICAL: Unpulsed DCs,"Annick Desjardins, MD",Celldex Therapeutics,INTERVENTIONAL,2025-03
NCT01189383,"IL15 Dendritic Cell Vaccine for Patients With Resected Stage III (A, B or C) or Stage IV Melanoma",https://clinicaltrials.gov/study/NCT01189383,COMPLETED,Malignant Melanoma Stage III|Malignant Melanoma Stage IV,BIOLOGICAL: IL15-DC Vaccine,Baylor Research Institute,National Institutes of Health (NIH)|National Cancer Institute (NCI),INTERVENTIONAL,2016-12
NCT00896662,Analysis of Dendritic Phenotype and Function of Patients Receiving VEGF-Trap on VGFT-ST-0202,https://clinicaltrials.gov/study/NCT00896662,COMPLETED,Lymphoma|Solid Tumor,OTHER: immunologic technique|OTHER: laboratory biomarker analysis|OTHER: pharmacological study,Vanderbilt-Ingram Cancer Center,National Cancer Institute (NCI),OBSERVATIONAL,2008-08
NCT03252938,Feasibility and Safety of IMP321 (Eftilagimod Alpha) for Advanced Stage Solid Tumors,https://clinicaltrials.gov/study/NCT03252938,RECRUITING,Solid Tumors|Peritoneal Carcinomatosis,DRUG: IMP321|DRUG: Avelumab,Institut für Klinische Krebsforschung IKF GmbH at Krankenhaus Nordwest,,INTERVENTIONAL,2025-09-30
NCT01926639,Phase II Cancer Vaccine Trial for Patients With Follicular Lymphoma,https://clinicaltrials.gov/study/NCT01926639,COMPLETED,Follicular Lymphoma,"BIOLOGICAL: Radiotherapy, rituximab and DC",Oslo University Hospital,Norwegian Cancer Society|Helse Sor-Ost,INTERVENTIONAL,2014-10
NCT00027599,APC8015 and Bevacizumab in Treating Patients With Prostate Cancer,https://clinicaltrials.gov/study/NCT00027599,COMPLETED,Prostate Cancer,BIOLOGICAL: bevacizumab|BIOLOGICAL: prostatic acid phosphatase-sargramostim fusion protein|BIOLOGICAL: sipuleucel-T|BIOLOGICAL: therapeutic autologous dendritic cells|PROCEDURE: in vitro-treated peripheral blood stem cell transplantation,National Cancer Institute (NCI),,INTERVENTIONAL,
NCT00019084,Vaccine Therapy and Biological Therapy in Treating Patients With Advanced Cancer,https://clinicaltrials.gov/study/NCT00019084,COMPLETED,Breast Cancer|Cervical Cancer|Colorectal Cancer|Lung Cancer|Ovarian Cancer|Pancreatic Cancer,BIOLOGICAL: aldesleukin|BIOLOGICAL: mutant p53 peptide pulsed dendritic cell vaccine|BIOLOGICAL: ras peptide cancer vaccine|BIOLOGICAL: sargramostim|BIOLOGICAL: therapeutic autologous lymphocytes|BIOLOGICAL: therapeutic tumor infiltrating lymphocytes,National Cancer Institute (NCI),,INTERVENTIONAL,2003-05
NCT01851733,MRI-Guided Laser Surgery and Doxorubicin Hydrochloride in Treating Patients With Recurrent Glioblastoma Multiforme,https://clinicaltrials.gov/study/NCT01851733,COMPLETED,Glioblastoma,DEVICE: MRI-guided Laser Heat Ablation (MLA)|DRUG: Doxorubicin|OTHER: Blood draw - dendritic cells|DEVICE: Dynamic Susceptibility Contrast Magnetic Resonance Imaging,Washington University School of Medicine,The Foundation for Barnes-Jewish Hospital,INTERVENTIONAL,2018-05-30
NCT01132014,Autologous OC-DC Vaccine in Ovarian Cancer,https://clinicaltrials.gov/study/NCT01132014,COMPLETED,Chemotherapy|Tumor|Ovarian Cancer,BIOLOGICAL: OCDC,Abramson Cancer Center at Penn Medicine,,INTERVENTIONAL,2018-05-30
NCT06530082,A Single Arm Clinical Study of Dendritic Cell Vaccine Loaded With Circular RNA Encoding Cryptic Peptide for Patients With HER2-negative Advanced Breast Cancer,https://clinicaltrials.gov/study/NCT06530082,NOT_YET_RECRUITING,Breast Neoplasms,BIOLOGICAL: CircFam53B-219aa DC vaccine|DRUG: camrelizumab,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,,INTERVENTIONAL,2027-01-01
NCT02366728,DC Migration Study for Newly-Diagnosed GBM,https://clinicaltrials.gov/study/NCT02366728,COMPLETED,"Glioblastoma|Astrocytoma, Grade IV|Giant Cell Glioblastoma|Glioblastoma Multiforme",BIOLOGICAL: Unpulsed DCs|BIOLOGICAL: Td|BIOLOGICAL: Human CMV pp65-LAMP mRNA-pulsed autologous DCs|BIOLOGICAL: 111In-labeled DCs|DRUG: Temozolomide|DRUG: Saline|DRUG: Basiliximab,"Mustafa Khasraw, MBChB, MD, FRCP, FRACP",,INTERVENTIONAL,2020-10-31
NCT00082329,G-CSF and AMD3100 to Mobilize Stem Cells in Healthy Volunteers,https://clinicaltrials.gov/study/NCT00082329,COMPLETED,Healthy,DRUG: AMD 3100 (Mozobil plerixafor)|DRUG: Granulocyte colony-stimulating factor (G-CSF),"National Heart, Lung, and Blood Institute (NHLBI)",,INTERVENTIONAL,2012-10-25
NCT05344209,Efficacy and Safety of Anti-PD-1/PD-L1 Treatment +/- UV1 Vaccination in Patients With Non-small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT05344209,RECRUITING,"Oncology|NSCLC Stage IV|NSCLC, Stage III",BIOLOGICAL: UV1|DRUG: Sagramostim|DRUG: Anti-PD-1/PD-L1 treatment,Vestre Viken Hospital Trust,"University Hospital, Akershus|Oslo University Hospital|Haukeland University Hospital|Helse Stavanger HF|Helse Fonna|Helse Nord-Trøndelag HF|St. Olavs Hospital|Alesund Hospital|Helse Forde|University Hospital of North Norway",INTERVENTIONAL,2027-07-01
NCT01339663,Vaccine Therapy Following Therapeutic Autologous Lymphocytes and Cyclophosphamide in Treating Patients With Metastatic Melanoma,https://clinicaltrials.gov/study/NCT01339663,COMPLETED,Recurrent Melanoma|Stage IV Melanoma,DRUG: cyclophosphamide|BIOLOGICAL: aldesleukin|BIOLOGICAL: autologous tumor cell vaccine|OTHER: laboratory biomarker analysis|OTHER: immunologic technique|OTHER: immunohistochemistry staining method|GENETIC: polymerase chain reaction|BIOLOGICAL: therapeutic autologous lymphocytes,Fred Hutchinson Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL,
NCT00901342,Open Label Study of Sipuleucel-T in Metastatic Prostate Cancer,https://clinicaltrials.gov/study/NCT00901342,COMPLETED,Prostate Cancer,BIOLOGICAL: sipuleucel-T,Dendreon,,INTERVENTIONAL,2015-06
NCT03707808,"Intratumoral Injection of Autologous CD1c (BDCA-1)+ myDC, Avelumab, and Ipilimumab Plus Systemic Nivolumab",https://clinicaltrials.gov/study/NCT03707808,COMPLETED,Solid Tumor|Metastases to Soft Tissue,DRUG: intratumoral injection of autologous CD1c (BDCA-1)+ myDC,Universitair Ziekenhuis Brussel,,INTERVENTIONAL,2020-12-24
NCT03113643,"SL-401 in Combination With Azacitidine or Azacitidine/Venetoclax in Acute Myeloid Leukemia (AML), High-Risk Myelodysplastic Syndrome (MDS) or Blastic Plasmacytoid Dendritic Cell Neoplasm (BPDCN)",https://clinicaltrials.gov/study/NCT03113643,RECRUITING,Acute Myeloid Leukemia|Myelodysplastic Syndrome|Blastic Plasmacytoid Dendritic Cell Neoplasm,DRUG: Azacitidine|DRUG: SL-401|DRUG: Venetoclax,Dana-Farber Cancer Institute,"Stemline Therapeutics, Inc.",INTERVENTIONAL,2026-05-31
NCT03599960,Combination Chemotherapy in Patients With Newly Diagnosed BPDCN,https://clinicaltrials.gov/study/NCT03599960,ACTIVE_NOT_RECRUITING,Blastic Plasmacytoid Dendritic Cell Neoplasm (BPDCN),DRUG: Chemotherapy,Centre Hospitalier Universitaire de Besancon,"UMR1098, EFS BFC, BESANCON|Centre Henri Becquerel|Maisonneuve-Rosemont Hospital|Centre Hospitalier Universitaire Dijon|Inserm CIC1431, CHU Besancon",INTERVENTIONAL,2024-11
NCT01883297,"""Re-Stimulated"" TILs and IL-2 Therapy for Platinum Resistant Ovarian, Fallopian Tube, or Primary Peritoneal Cancer",https://clinicaltrials.gov/study/NCT01883297,ACTIVE_NOT_RECRUITING,Recurrent|Platinum-resistant|High Grade Serous Ovarian Cancer|Fallopian Tube Cancer|Primary Peritoneal Cancer,BIOLOGICAL: Re-stimulated tumor-infiltrating lymphocytes (TILs)|BIOLOGICAL: Interleukin-2|DRUG: Cyclophosphamide,"University Health Network, Toronto",,INTERVENTIONAL,2026-06
NCT00057915,Vaccine Therapy in Treating Patients With Refractory Stage IV Cancer,https://clinicaltrials.gov/study/NCT00057915,COMPLETED,"Unspecified Adult Solid Tumor, Protocol Specific",BIOLOGICAL: CEA peptide 1-6D,Duke University,National Cancer Institute (NCI),INTERVENTIONAL,2006-09
NCT00616720,Interferon-gamma or Aldesleukin and Vaccine Therapy in Treating Patients With Multiple Myeloma,https://clinicaltrials.gov/study/NCT00616720,COMPLETED,Multiple Myeloma and Plasma Cell Neoplasm,BIOLOGICAL: aldesleukin|BIOLOGICAL: idiotype-pulsed autologous dendritic cell vaccine APC8020|BIOLOGICAL: recombinant interferon gamma|GENETIC: polymerase chain reaction|GENETIC: reverse transcriptase-polymerase chain reaction|OTHER: flow cytometry|OTHER: laboratory biomarker analysis,Mayo Clinic,National Cancer Institute (NCI),INTERVENTIONAL,2007-11
NCT01068509,Ovarian Cancer Vaccine for Patients in Remission,https://clinicaltrials.gov/study/NCT01068509,COMPLETED,Epithelial Ovarian Cancer,BIOLOGICAL: Cvac,Prima BioMed Ltd,,INTERVENTIONAL,2015-04
NCT03086564,A Basic-clinical Translational Research in Hepatitis B Virus (HBV)-Specific Antigen Peptides and HepG2 Cell Lysate Co-activated Dendritic Cells Combined With Transarterial Chemoembolization (TACE) in HBV-related HCC Treatment (BTRHBVAPHCLCDCCTCHBVHCCT),https://clinicaltrials.gov/study/NCT03086564,COMPLETED,Hepatocellular Carcinoma,BIOLOGICAL: ADCC & TACE|PROCEDURE: TACE,Yuehua Huang,,INTERVENTIONAL,2020-10-29
NCT00601796,"Vaccine Therapy, Tretinoin, and Cyclophosphamide in Treating Patients With Metastatic Lung Cancer",https://clinicaltrials.gov/study/NCT00601796,COMPLETED,Lung Cancer,BIOLOGICAL: Vaccine Treatment|DRUG: Cyclophosphamide|DRUG: All-trans retinoic acid (ATRA),H. Lee Moffitt Cancer Center and Research Institute,National Cancer Institute (NCI)|National Institutes of Health (NIH),INTERVENTIONAL,2012-06
NCT00003229,Vaccine Therapy in Treating Patients With Metastatic Melanoma Who Are Undergoing Surgery for Lymph Node and Tumor Removal,https://clinicaltrials.gov/study/NCT00003229,COMPLETED,Melanoma (Skin),BIOLOGICAL: aldesleukin|BIOLOGICAL: gp100 antigen|BIOLOGICAL: tyrosinase peptide,Duke University,National Cancer Institute (NCI),INTERVENTIONAL,2005-02
NCT00005947,Vaccine Therapy in Treating Patients With Metastatic Prostate Cancer That Has Not Responded to Hormone Therapy,https://clinicaltrials.gov/study/NCT00005947,COMPLETED,Prostate Cancer,BIOLOGICAL: sipuleucel-T|BIOLOGICAL: Placebo,Dendreon,,INTERVENTIONAL,2004-09
NCT03657966,DCVAC/OvCa After Standard-of-care Chemotherapy in Women With Relapse of Platinum-sensitive Epithelial Ovarian Cancer,https://clinicaltrials.gov/study/NCT03657966,COMPLETED,Ovarian Cancer Recurrent,BIOLOGICAL: DCVAC/OvCa|DRUG: Standard of Care Chemotherapy,SOTIO a.s.,,INTERVENTIONAL,2021-02-25
NCT05882305,KSD-101 Therapy for EBV-associated Lymphomas: an Exploratory Clinical Trial,https://clinicaltrials.gov/study/NCT05882305,ACTIVE_NOT_RECRUITING,EBV-associated Lymphomas,BIOLOGICAL: Autologous monocyte-derived DCs pulsed withEBV-associated antigen,"Kousai Bio Co., Ltd.",,INTERVENTIONAL,2025-12-31
NCT00019591,Vaccine Therapy With or Without Interleukin-2 in Treating Patients With Locally Advanced or Metastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT00019591,COMPLETED,Colorectal Cancer,BIOLOGICAL: aldesleukin|BIOLOGICAL: ras peptide cancer vaccine|PROCEDURE: adjuvant therapy,National Cancer Institute (NCI),,INTERVENTIONAL,2005-11
NCT03370627,Effect of Anti-CD303 Antibodies in Autoimmune Diseases,https://clinicaltrials.gov/study/NCT03370627,COMPLETED,Immune Disease,BIOLOGICAL: Monoclonal anti-cd303 antibody,"University Hospital, Lille",Laboratoire français de Fractionnement et de Biotechnologies,INTERVENTIONAL,2019-05-25
NCT02465268,Vaccine Therapy for the Treatment of Newly Diagnosed Glioblastoma Multiforme,https://clinicaltrials.gov/study/NCT02465268,COMPLETED,"Glioblastoma Multiforme|Glioblastoma|Malignant Glioma|Astrocytoma, Grade IV|GBM",BIOLOGICAL: pp65-shLAMP DC with GM-CSF|BIOLOGICAL: unpulsed PBMC and saline|DRUG: Td|DRUG: Saline|BIOLOGICAL: pp65-flLAMP DC with GM-CSF,University of Florida,National Cancer Institute (NCI),INTERVENTIONAL,2023-11-30
NCT02405338,DC Vaccination for Post-remission Therapy in AML,https://clinicaltrials.gov/study/NCT02405338,COMPLETED,Acute Myeloid Leukemia,BIOLOGICAL: WT1/PRAME vaccination,Medigene AG,,INTERVENTIONAL,2019-11
NCT06508463,Intravenous Vesicular Stomatitis Virus in Patients With Peripheral T-cell Lymphoma,https://clinicaltrials.gov/study/NCT06508463,RECRUITING,"Peripheral T Cell Lymphoma|Relapsed Peripheral T-Cell Lymphoma|Peripheral T-Cell Lymphoma, Not Otherwise Specified|Anaplastic Large Cell Lymphoma|Mycosis Fungoides|Relapsed Anaplastic Large Cell Lymphoma|Relapsed Mycosis Fungoides",PROCEDURE: Biopsy|PROCEDURE: Biospecimen Collection|PROCEDURE: Bone Marrow Biopsy|PROCEDURE: Computed Tomography|PROCEDURE: Positron Emission Tomography|BIOLOGICAL: Recombinant Vesicular Stomatitis Virus-expressing Human Interferon Beta and Sodium-Iodide Symporter|PROCEDURE: Single Photon Emission Computed Tomography|BIOLOGICAL: Cemiplimab|BIOLOGICAL: Ipilimumab,Mayo Clinic,National Cancer Institute (NCI),INTERVENTIONAL,2032-04-01
NCT00822783,Study to Determine the Effect of an Anti-IgE Agent on Inflammatory Cells in the Skin of Atopic Dermatitis Patients,https://clinicaltrials.gov/study/NCT00822783,COMPLETED,Atopic Dermatitis,DRUG: Omalizumab|DRUG: Placebo,Medical University of Vienna,,INTERVENTIONAL,2003-04
NCT00003433,Immunotherapy in Treating Patients With Resected Liver Metastases From Colon Cancer,https://clinicaltrials.gov/study/NCT00003433,COMPLETED,Colorectal Cancer|Metastatic Cancer,BIOLOGICAL: carcinoembryonic antigen RNA-pulsed DC cancer vaccine,Duke Cancer Institute,National Cancer Institute (NCI),INTERVENTIONAL,2003-08
NCT00019214,Vaccine Therapy With or Without Interleukin-2 in Treating Patients With Metastatic Melanoma,https://clinicaltrials.gov/study/NCT00019214,COMPLETED,Melanoma (Skin),BIOLOGICAL: MART-1 antigen|BIOLOGICAL: aldesleukin|BIOLOGICAL: gp100 antigen,National Cancer Institute (NCI),,INTERVENTIONAL,2006-07
NCT05834296,Study in Subjects With Mild-to-Moderate Alzheimer's Dementia,https://clinicaltrials.gov/study/NCT05834296,ACTIVE_NOT_RECRUITING,Alzheimer Disease,BIOLOGICAL: ALZN002 (autologous DCs pulsed with E22W mutant peptide).|DRUG: Placebo,"Alzamend Neuro, Inc.","bioRASI, LLC",INTERVENTIONAL,2028-03-03
NCT01133704,"Immunotherapy With APC8015 (Sipuleucel-T, Provenge) for Asymptomatic, Metastatic, Hormone-Refractory Prostate Cancer",https://clinicaltrials.gov/study/NCT01133704,COMPLETED,Hormone-Refractory Prostate Cancer,BIOLOGICAL: sipuleucel-T|BIOLOGICAL: APC-Placebo,Dendreon,,INTERVENTIONAL,2005-05
NCT00090896,"CP-675,206 (CTLA4-Blocking Monoclonal Antibody) Combined With Dendritic Cell Vaccine Therapy in Treating Patients With Stage III or Stage IV Melanoma That Cannot Be Removed With Surgery",https://clinicaltrials.gov/study/NCT00090896,COMPLETED,Melanoma (Skin),BIOLOGICAL: maximum tolerated dose of anti-cytotoxic T-lymphocyte-associated antigen-4 monoclonal antibody,Jonsson Comprehensive Cancer Center,Pfizer,INTERVENTIONAL,2009-10
NCT05832216,Efficacy of Daratumumab to Overcome Platelet Transfusion Refractoriness in Patients With Aplastic Anemia,https://clinicaltrials.gov/study/NCT05832216,RECRUITING,Aplastic Anemia|Platelet Transfusion Refractoriness,DRUG: Daratumumab,"Institute of Hematology & Blood Diseases Hospital, China",,INTERVENTIONAL,2026-12-31
NCT00001644,Use of Combined Antiretroviral Therapy to Determine Sites of Persistent HIV Infection,https://clinicaltrials.gov/study/NCT00001644,COMPLETED,HIV Infection,DRUG: Indinavir|DRUG: Zidovudine|DRUG: Lamivudine|DRUG: Nevirapine|PROCEDURE: Blood testing|PROCEDURE: Lymph node biospy|PROCEDURE: Leukapheresis,National Institute of Allergy and Infectious Diseases (NIAID),,INTERVENTIONAL,2010-02-17
NCT05806814,Sipuleucel-T Based Autologous Cellular Immunotherapy for Advanced Prostate Cancer,https://clinicaltrials.gov/study/NCT05806814,RECRUITING,Metastatic Castration-Resistant Prostate Cancer (mCRPC),BIOLOGICAL: Sipuleucel-T,University of Oklahoma,Dendreon,INTERVENTIONAL,2024-11
NCT04640779,"Low-Dose Selinexor and Choline Salicylate for Non-Hodgkin or Hodgkin Lymphoma, Histiocytic/Dendritic Cell Neoplasm, or Relapsed or Refractory Multiple Myeloma",https://clinicaltrials.gov/study/NCT04640779,RECRUITING,Recurrent Histiocytic and Dendritic Cell Neoplasm|Recurrent Hodgkin Lymphoma|Recurrent Non-Hodgkin Lymphoma|Recurrent Plasma Cell Myeloma|Refractory Histiocytic and Dendritic Cell Neoplasm|Refractory Hodgkin Lymphoma|Refractory Non-Hodgkin Lymphoma|Refractory Plasma Cell Myeloma,DRUG: Choline Salicylate|DRUG: Selinexor,Mayo Clinic,National Cancer Institute (NCI),INTERVENTIONAL,2027-08-15
NCT00728936,"Placebo-controlled, Dose-escalation Study of the Safety of IMO-2125 (Immunomodulatory Oligonucleotide) in Hepatitis C-infected Patients",https://clinicaltrials.gov/study/NCT00728936,COMPLETED,Hepatitis C,DRUG: IMO-2125|DRUG: Saline placebo,"Idera Pharmaceuticals, Inc.",,INTERVENTIONAL,2010-05
NCT04629274,In Vitro Study of the Biological and Immunological Activity of Imotopes® Candidates on Blood Cells of Patients With Stabilized NMO,https://clinicaltrials.gov/study/NCT04629274,COMPLETED,Neuromyelitis Optica,PROCEDURE: Blood sampling,Imcyse SA,,INTERVENTIONAL,2024-06-03
NCT04084951,"Study of SQZ-PBMC-HPV in Patients With HPV16+ Recurrent, Locally Advanced or Metastatic Solid Tumors",https://clinicaltrials.gov/study/NCT04084951,COMPLETED,Adult Solid Tumor,BIOLOGICAL: SQZ-PBMC-HPV|DRUG: Atezolizumab|DRUG: Ipilimumab|DRUG: Nivolumab,SQZ Biotechnologies,,INTERVENTIONAL,2023-02-09
NCT00936572,Probiotics In Colorectal Cancer Patients,https://clinicaltrials.gov/study/NCT00936572,COMPLETED,Colorectal Cancer,"PROCEDURE: Probiotics (La1, BB536)|BIOLOGICAL: probiotics (La1, BB536)|BIOLOGICAL: placebo",University of Milano Bicocca,,INTERVENTIONAL,2007-10
NCT06253494,"Pembrolizumab, Lenvatinib and IL-15 Superagonist N-803 in Combination With HER2 Targeting Autologous Dendritic Cell (AdHER2DC) Vaccine in Participants With Advanced or Metastatic Endometrial Cancer",https://clinicaltrials.gov/study/NCT06253494,RECRUITING,Endometrial Cancer|Cancer of Endometrium|Carcinoma of Endometrium|Endometrial Carcinoma,BIOLOGICAL: AdHER2DC vaccine|BIOLOGICAL: Pembrolizumab|BIOLOGICAL: N-803|DRUG: Lenvatinib|DEVICE: PATHWAY HER2 (4B5) assay,National Cancer Institute (NCI),,INTERVENTIONAL,2028-12-31
NCT06244069,Clonal Hematopoiesis in Giant Cell Arteritis,https://clinicaltrials.gov/study/NCT06244069,NOT_YET_RECRUITING,Giant Cell Arteritis|Temporal Arteritis|Clonal Hematopoiesis of Indeterminate Potential|Horton Disease|Systemic Vasculitis Primary,DIAGNOSTIC_TEST: Temporal arterial biopsy|DIAGNOSTIC_TEST: Whole exome sequencing|DIAGNOSTIC_TEST: Single cell transcriptomics,ASST Fatebenefratelli Sacco,,OBSERVATIONAL,2031-03
NCT00026624,Safety/Immunogenicity of Immunizations of ALVAC-DC-SC vs ALVAC-SC,https://clinicaltrials.gov/study/NCT00026624,COMPLETED,HIV Infections,"BIOLOGICAL: ALVAC(2)120(B,MN)GNP (vCP1452)|DRUG: Keyhole-Limpet Hemocyanin",National Institute of Allergy and Infectious Diseases (NIAID),,INTERVENTIONAL,2006-10
NCT00460629,Prophylactic Transfer of Leukemia-reactive T Cells After Allogeneic Transplantation,https://clinicaltrials.gov/study/NCT00460629,COMPLETED,Chronic Myeloid Leukemia,PROCEDURE: Application of activated donor T cells,University Hospital Carl Gustav Carus,,INTERVENTIONAL,
NCT00990938,"Study of Combination Treatment With IMO-2125 and Ribavirin in Naïve Hepatitis C-infected, Genotype 1 Patients",https://clinicaltrials.gov/study/NCT00990938,COMPLETED,"Hepatitis C, Treatment Naïve, Genotype 1 Patients",DRUG: IMO-2125|DRUG: Saline,"Idera Pharmaceuticals, Inc.",,INTERVENTIONAL,2011-01
NCT03396575,Brain Stem Gliomas Treated With Adoptive Cellular Therapy During Focal Radiotherapy Recovery Alone or With Dose-intensified Temozolomide (Phase I),https://clinicaltrials.gov/study/NCT03396575,ACTIVE_NOT_RECRUITING,Diffuse Intrinsic Pontine Glioma (DIPG)|Brain Stem Glioma,BIOLOGICAL: TTRNA-DC vaccines with GM-CSF|BIOLOGICAL: TTRNA-xALT|DRUG: Cyclophosphamide + Fludarabine Lymphodepletive Conditioning|DRUG: Dose-Intensified TMZ|DRUG: Td vaccine|BIOLOGICAL: Autologous Hematopoietic Stem Cells (HSC),University of Florida,Accelerate Brain Cancer Cure|Lyla Nsouli Foundation,INTERVENTIONAL,2025-06
NCT02528682,MiHA-loaded PD-L-silenced DC Vaccination After Allogeneic SCT,https://clinicaltrials.gov/study/NCT02528682,COMPLETED,Hematological Malignancies,BIOLOGICAL: MiHA-loaded PD-L-silenced DC Vaccination,Radboud University Medical Center,ZonMw: The Netherlands Organisation for Health Research and Development|Dutch Cancer Society,INTERVENTIONAL,2021-03-31
NCT06100705,Sipuleucel-T Combined With Bipolar Androgen Therapy in Men With mCRPC,https://clinicaltrials.gov/study/NCT06100705,RECRUITING,Metastatic Castration-resistant Prostate Cancer,DRUG: Testosterone Cypionate|DRUG: Sipuleucel-T,Yale University,Dendreon,INTERVENTIONAL,2028-03
NCT00707304,Safety and Efficacy of Talactoferrin in Previously Treated Patients With Non-small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT00707304,COMPLETED,Non Small Cell Lung Cancer,DRUG: Talactoferrin|DRUG: Placebo,Agennix,,INTERVENTIONAL,2012-08
NCT02151448,αDC1 Vaccine + Chemokine Modulatory Regimen (CKM) as Adjuvant Treatment of Peritoneal Surface Malignancies,https://clinicaltrials.gov/study/NCT02151448,COMPLETED,Malignant Neoplasm of Pancreas Metastatic to Peritoneal Surface|Malignant Peritoneal Mesothelioma|Peritoneal Carcinomatosis,BIOLOGICAL: DC vaccine|DRUG: Celecoxib|DRUG: Interferon Alfa-2b|BIOLOGICAL: rintatolimod,David Bartlett,National Cancer Institute (NCI),INTERVENTIONAL,2019-02-18
NCT06329908,DC Combined With ICIs in the Treatment of Advanced Lung Cancer Resistant to ICIs,https://clinicaltrials.gov/study/NCT06329908,RECRUITING,Lung Cancer,DRUG: LG002,Zhen-Yu Ding,,INTERVENTIONAL,2026-10-31
NCT00053131,Combination Chemotherapy Followed By Filgrastim or Sargramostim in Treating Patients With Relapsed or Refractory Acute Myeloid Leukemia or Acute Lymphoblastic Leukemia,https://clinicaltrials.gov/study/NCT00053131,COMPLETED,Leukemia,BIOLOGICAL: filgrastim|BIOLOGICAL: sargramostim|DRUG: cytarabine|DRUG: mitoxantrone hydrochloride,Roswell Park Cancer Institute,,INTERVENTIONAL,2004-02
NCT01678937,Immune Tolerance and Alloreactivity in Liver Transplant Recipients on Different Monotherapy Immunosuppressive Agents,https://clinicaltrials.gov/study/NCT01678937,COMPLETED,Liver Transplant Rejection|Immunosuppression,PROCEDURE: Blood Draw - Rapamycin|PROCEDURE: Blood Draw from Control Subjects|PROCEDURE: Blood Draw - CyA|PROCEDURE: Blood Draw - Tacrolimus|PROCEDURE: Blood Draw - MMF|PROCEDURE: Blood Draw - Rapamycin,Northwestern University,Northwestern Memorial Hospital,OBSERVATIONAL,2008-09
NCT01522820,Vaccine Therapy With or Without Sirolimus in Treating Patients With NY-ESO-1 Expressing Solid Tumors,https://clinicaltrials.gov/study/NCT01522820,COMPLETED,Anaplastic Astrocytoma|Anaplastic Oligoastrocytoma|Anaplastic Oligodendroglioma|Estrogen Receptor Negative|Estrogen Receptor Positive|Glioblastoma|Hormone-Resistant Prostate Cancer|Metastatic Prostate Carcinoma|Metastatic Renal Cell Cancer|Recurrent Adult Brain Neoplasm|Recurrent Bladder Carcinoma|Recurrent Breast Carcinoma|Recurrent Colorectal Carcinoma|Recurrent Esophageal Carcinoma|Recurrent Gastric Carcinoma|Recurrent Hepatocellular Carcinoma|Recurrent Lung Carcinoma|Recurrent Melanoma|Recurrent Ovarian Carcinoma|Recurrent Prostate Carcinoma|Recurrent Renal Cell Carcinoma|Recurrent Uterine Corpus Carcinoma|Resectable Hepatocellular Carcinoma|Sarcoma|Stage IA Breast Cancer|Stage IA Ovarian Cancer|Stage IA Uterine Corpus Cancer|Stage IB Breast Cancer|Stage IB Ovarian Cancer|Stage IB Uterine Corpus Cancer|Stage IC Ovarian Cancer|Stage II Uterine Corpus Cancer|Stage IIA Breast Cancer|Stage IIA Lung Carcinoma|Stage IIA Ovarian Cancer|Stage IIB Breast Cancer|Stage IIB Esophageal Cancer|Stage IIB Lung Carcinoma|Stage IIB Ovarian Cancer|Stage IIB Skin Melanoma|Stage IIC Ovarian Cancer|Stage IIC Skin Melanoma|Stage IIIA Breast Cancer|Stage IIIA Esophageal Cancer|Stage IIIA Lung Carcinoma|Stage IIIA Ovarian Cancer|Stage IIIA Skin Melanoma|Stage IIIA Uterine Corpus Cancer|Stage IIIB Breast Cancer|Stage IIIB Esophageal Cancer|Stage IIIB Ovarian Cancer|Stage IIIB Skin Melanoma|Stage IIIB Uterine Corpus Cancer|Stage IIIC Breast Cancer|Stage IIIC Esophageal Cancer|Stage IIIC Ovarian Cancer|Stage IIIC Skin Melanoma|Stage IIIC Uterine Corpus Cancer|Stage IV Bladder Urothelial Carcinoma|Stage IV Esophageal Cancer|Stage IV Ovarian Cancer|Stage IV Prostate Cancer|Stage IV Skin Melanoma|Stage IVA Uterine Corpus Cancer|Stage IVB Uterine Corpus Cancer,BIOLOGICAL: DEC-205/NY-ESO-1 Fusion Protein CDX-1401|OTHER: Laboratory Biomarker Analysis|OTHER: Pharmacological Study|DRUG: Sirolimus,Roswell Park Cancer Institute,National Cancer Institute (NCI),INTERVENTIONAL,2016-07
